id,position_x,position_y,iteration_number,time
50,4.0,0.0,2,2
50,6.0,0.0,3,3
50,6.0,-2.0,4,4
50,4.0,-1.9999999999999998,5,5
50,2.0,-1.9999999999999996,6,6
50,1.9999999999999996,-3.9999999999999996,7,7
50,1.9999999999999991,-6.0,8,8
50,3.999999999999999,-6.0,9,9
50,3.9999999999999987,-8.0,10,10
50,5.999999999999998,-8.0,11,11
51,0,0,0,0
51,2,0,1,1
51,4.0,0.0,2,2
51,6.0,0.0,3,3
51,8.0,0.0,4,4
52,0,0,0,0
52,2,0,1,1
52,1.9999999999999996,-2.0,2,2
52,3.9999999999999996,-2.0,3,3
52,6.0,-2.0,4,4
52,8.0,-2.0,5,5
53,0,0,0,0
53,2,0,1,1
53,4.0,0.0,2,2
53,6.0,0.0,3,3
54,0,0,0,0
54,2,0,1,1
54,1.9999999999999996,-2.0,2,2
54,1.9999999999999991,-4.0,3,3
54,-8.881784197001252e-16,-3.9999999999999996,4,4
55,0,0,0,0
55,2,0,1,1
55,2.0,2.0,2,2
55,4.0,2.0,3,3
55,4.0,4.0,4,4
55,6.0,4.0,5,5
56,0,0,0,0
56,2,0,1,1
56,4.0,0.0,2,2
56,4.0,2.0,3,3
56,4.0,4.0,4,4
56,4.0,6.0,5,5
56,4.0,8.0,6,6
56,6.0,8.0,7,7
56,6.0,10.0,8,8
56,8.0,10.0,9,9
57,0,0,0,0
57,2,0,1,1
57,2.0,2.0,2,2
57,0.0,2.0000000000000004,3,3
58,0,0,0,0
58,2,0,1,1
58,4.0,0.0,2,2
58,3.9999999999999996,-2.0,3,3
58,3.999999999999999,-4.0,4,4
58,5.999999999999999,-4.0,5,5
58,7.999999999999999,-4.0,6,6
59,0,0,0,0
59,2,0,1,1
59,2.0,2.0,2,2
59,4.0,2.0,3,3
59,6.0,2.0,4,4
59,6.0,4.0,5,5
59,4.0,4.0,6,6
59,2.0,4.0,7,7
59,2.0,6.0,8,8
59,0.0,6.0,9,9
60,0,0,0,0
60,2,0,1,1
60,4.0,0.0,2,2
60,3.9999999999999996,-2.0,3,3
60,6.0,-2.0,4,4
60,8.0,-2.0,5,5
61,0,0,0,0
61,2,0,1,1
61,2.0,2.0,2,2
61,2.0,4.0,3,3
61,2.0,6.0,4,4
61,2.0,8.0,5,5
61,4.0,8.0,6,6
61,6.0,8.0,7,7
62,0,0,0,0
62,2,0,1,1
62,4.0,0.0,2,2
62,6.0,0.0,3,3
62,6.0,2.0,4,4
62,8.0,2.0,5,5
63,0,0,0,0
63,2,0,1,1
63,4.0,0.0,2,2
63,4.0,2.0,3,3
63,2.0,2.0000000000000004,4,4
63,0.0,2.000000000000001,5,5
64,0,0,0,0
64,2,0,1,1
64,2.0,2.0,2,2
64,4.0,2.0,3,3
64,4.0,4.0,4,4
64,4.0,6.0,5,5
64,4.0,8.0,6,6
64,2.0,8.0,7,7
64,0.0,8.0,8,8
65,0,0,0,0
65,2,0,1,1
65,4.0,0.0,2,2
65,3.9999999999999996,-2.0,3,3
65,3.999999999999999,-4.0,4,4
65,3.9999999999999987,-6.0,5,5
65,3.9999999999999982,-8.0,6,6
65,3.999999999999998,-10.0,7,7
65,1.9999999999999978,-10.0,8,8
65,1.9999999999999973,-12.0,9,9
65,3.9999999999999973,-12.0,10,10
65,5.999999999999997,-12.0,11,11
65,7.999999999999997,-12.0,12,12
66,0,0,0,0
66,2,0,1,1
66,2.0,2.0,2,2
67,0,0,0,0
67,2,0,1,1
67,2.0,2.0,2,2
67,2.0,4.0,3,3
67,0.0,4.0,4,4
68,0,0,0,0
68,2,0,1,1
68,4.0,0.0,2,2
68,6.0,0.0,3,3
68,6.0,-2.0,4,4
68,4.0,-1.9999999999999998,5,5
68,2.0,-1.9999999999999996,6,6
69,0,0,0,0
69,2,0,1,1
69,2.0,2.0,2,2
69,0.0,2.0000000000000004,3,3
70,0,0,0,0
70,2,0,1,1
70,1.9999999999999996,-2.0,2,2
71,0,0,0,0
71,2,0,1,1
71,1.9999999999999996,-2.0,2,2
71,1.9999999999999991,-4.0,3,3
71,3.999999999999999,-4.0,4,4
71,3.9999999999999987,-6.0,5,5
71,3.9999999999999982,-8.0,6,6
71,3.999999999999998,-10.0,7,7
71,3.9999999999999973,-12.0,8,8
71,3.999999999999997,-14.0,9,9
71,1.999999999999997,-14.0,10,10
71,-3.1086244689504383e-15,-14.0,11,11
72,0,0,0,0
72,2,0,1,1
72,4.0,0.0,2,2
72,6.0,0.0,3,3
72,8.0,0.0,4,4
73,0,0,0,0
73,2,0,1,1
73,2.0,2.0,2,2
73,2.0,4.0,3,3
73,2.0,6.0,4,4
73,2.0,8.0,5,5
73,4.0,8.0,6,6
73,3.9999999999999996,6.0,7,7
73,3.999999999999999,4.0,8,8
73,1.9999999999999991,4.0,9,9
73,1.9999999999999993,6.0,10,10
73,1.9999999999999996,8.0,11,11
73,1.9999999999999998,10.0,12,12
73,2.0,12.0,13,13
73,0.0,12.0,14,14
74,0,0,0,0
74,2,0,1,1
74,2.0,2.0,2,2
74,2.0,4.0,3,3
74,2.0,6.0,4,4
74,0.0,6.0,5,5
75,0,0,0,0
75,2,0,1,1
75,1.9999999999999996,-2.0,2,2
76,0,0,0,0
76,2,0,1,1
76,1.9999999999999996,-2.0,2,2
76,-4.440892098500626e-16,-1.9999999999999998,3,3
77,0,0,0,0
77,2,0,1,1
77,1.9999999999999996,-2.0,2,2
77,1.9999999999999991,-4.0,3,3
77,-8.881784197001252e-16,-3.9999999999999996,4,4
78,0,0,0,0
78,2,0,1,1
78,4.0,0.0,2,2
78,4.0,2.0,3,3
78,2.0,2.0000000000000004,4,4
78,0.0,2.000000000000001,5,5
79,0,0,0,0
79,2,0,1,1
79,4.0,0.0,2,2
79,3.9999999999999996,-2.0,3,3
79,3.999999999999999,-4.0,4,4
79,1.9999999999999991,-3.9999999999999996,5,5
79,-8.881784197001252e-16,-3.999999999999999,6,6
80,0,0,0,0
80,2,0,1,1
80,4.0,0.0,2,2
80,4.0,2.0,3,3
80,4.0,4.0,4,4
80,2.0,4.0,5,5
80,0.0,4.0,6,6
81,0,0,0,0
81,2,0,1,1
81,4.0,0.0,2,2
81,4.0,2.0,3,3
81,4.0,4.0,4,4
81,4.0,6.0,5,5
81,4.0,8.0,6,6
81,6.0,8.0,7,7
81,8.0,8.0,8,8
82,0,0,0,0
82,2,0,1,1
82,1.9999999999999996,-2.0,2,2
82,1.9999999999999991,-4.0,3,3
82,1.9999999999999987,-6.0,4,4
82,3.9999999999999987,-6.0,5,5
82,3.9999999999999987,-4.0,6,6
82,5.999999999999998,-4.0,7,7
82,7.999999999999998,-4.0,8,8
83,0,0,0,0
83,2,0,1,1
83,2.0,2.0,2,2
83,2.0,4.0,3,3
83,0.0,4.0,4,4
84,0,0,0,0
84,2,0,1,1
84,1.9999999999999996,-2.0,2,2
84,-4.440892098500626e-16,-1.9999999999999998,3,3
85,0,0,0,0
85,2,0,1,1
85,1.9999999999999996,-2.0,2,2
85,-4.440892098500626e-16,-1.9999999999999998,3,3
86,0,0,0,0
86,2,0,1,1
86,2.0,2.0,2,2
86,2.0,4.0,3,3
86,2.0,6.0,4,4
86,4.0,6.0,5,5
86,6.0,6.0,6,6
86,6.0,4.0,7,7
86,6.0,2.0,8,8
86,6.0,0.0,9,9
86,8.0,0.0,10,10
87,0,0,0,0
87,2,0,1,1
87,4.0,0.0,2,2
87,3.9999999999999996,-2.0,3,3
87,1.9999999999999996,-1.9999999999999998,4,4
