id,position_x,position_y,iteration_number,time
290,3.9528034785030193,3.0319342660380033,5,5
290,5.279872629494988,1.5356430281817308,6,6
290,7.229239041125708,1.9828237446778374,7,7
291,0,0,0,0
291,2,0,1,1
291,3.9696155060244163,0.34729635533386066,2,2
291,3.372533281585588,2.256089905527066,3,3
291,5.155812373126495,3.161581861136302,4,4
291,7.027808600186855,2.4575718286284,5,5
292,0,0,0,0
292,2,0,1,1
292,3.4657984459384177,-1.3606744341996435,2,2
292,2.216948348246386,-2.92284389795657,3,3
292,0.27501331725598277,-3.401266655998348,4,4
292,0.3249245517672601,-1.401889535825778,5,5
292,-1.5560078890834281,-0.7221151960956937,6,6
293,0,0,0,0
293,2,0,1,1
293,3.875656737266429,-0.6941986775751261,2,2
293,5.423337156719441,-1.9609604228302266,3,3
293,3.6838302813964834,-2.947933487662373,4,4
293,2.916206524868044,-1.1011108734372907,5,5
293,0.9445062679409271,-0.765852619499313,6,6
293,1.0184913437061514,-2.7644837031573286,7,7
293,1.2320607254583003,-4.753048039350152,8,8
293,3.2320333099531537,-4.763519967012991,9,9
293,2.8029035850979063,-6.716939450699396,10,10
293,0.8030659135249865,-6.69145833302762,11,11
293,-0.9819483102381781,-7.593524971898156,12,12
294,0,0,0,0
294,2,0,1,1
294,1.5814455211939706,-1.955712695738158,2,2
294,0.12661839266951458,-3.328111335386743,3,3
294,1.1474040678778215,-5.047994065484793,4,4
294,0.9953581971704152,-7.042206203949712,5,5
294,2.9852251679779105,-6.841135473883392,6,6
294,3.2220331045909116,-8.827066490096465,7,7
294,2.750391879528494,-10.770659697231544,8,8
294,4.598551436399198,-11.535058972707052,9,9
294,5.707078393872587,-9.870376425025725,10,10
294,7.501440991274013,-8.987051530637025,11,11
295,0,0,0,0
295,2,0,1,1
295,1.3267954811744151,1.8832938368275973,2,2
295,3.313339652733199,2.1149018126095718,3,3
295,4.857254707487591,0.8435535897757407,4,4
295,6.557407874442758,-0.20976459999044716,5,5
295,8.518842117007955,0.18110073755266687,6,6
296,0,0,0,0
296,2,0,1,1
296,3.918134439779659,-0.5663570171995522,2,2
296,2.8940487100385166,-2.2842768110608818,3,3
297,0,0,0,0
297,2,0,1,1
297,2.3778481119682424,1.963983402241993,2,2
297,4.175742135839322,1.087868638681499,3,3
297,4.135602258272145,3.0874657956680984,4,4
297,5.222830257085032,4.766136483622506,5,5
297,6.767189002018286,6.036945700990787,6,6
297,6.6224533054467045,8.031701720692931,7,7
297,8.618009852541856,7.898457331146233,8,8
298,0,0,0,0
298,2,0,1,1
298,2.775031172904206,-1.843726303177001,2,2
298,4.659263144468956,-1.1731520139791414,3,3
298,4.245488618004064,0.7835775639770857,4,4
298,4.95341780330905,2.6540952112056324,5,5
298,6.5751369649737965,1.4836137031546115,6,6
298,8.574942012992405,1.5115380638329023,7,7
299,0,0,0,0
299,2,0,1,1
299,3.9766166983504943,0.30493676033235356,2,2
299,5.643617286709033,-0.8001012654442636,3,3
299,6.11525851177145,-2.743694472579343,4,4
299,8.057776596989992,-2.2676445922108184,5,5
300,0,0,0,0
300,2,0,1,1
300,2.4274248815879886,1.953793226162762,2,2
300,4.402252495089812,2.2701093606717286,3,3
300,5.424838667243916,3.988922183674634,4,4
300,7.380478281657696,3.570026374987648,5,5
301,0,0,0,0
301,2,0,1,1
301,1.3979226176081596,-1.907223853041952,2,2
301,2.129300907158269,-3.7686979456832534,3,3
301,0.13964558815498895,-3.5655435424281055,4,4
301,-0.7968309681402386,-5.332748018290882,5,5
302,0,0,0,0
302,2,0,1,1
302,2.7151062211571735,1.8677856120182283,2,2
302,1.4505066795353891,3.4172332553188896,3,3
302,3.176063698781287,4.428397422668194,4,4
302,3.3423758376708532,2.4353243501347315,5,5
302,4.566534376363487,0.853731522588427,6,6
302,4.745365997442423,-1.1382572452770647,7,7
302,5.022675154958227,-3.1189388529964566,8,8
302,3.023135992953897,-3.076007051135595,9,9
302,1.9119955269146935,-1.4130678265305037,10,10
302,3.5063207586640104,-0.20553850787712769,11,11
302,4.290994991871132,-2.0451815025206033,12,12
302,3.9457614031215176,-4.015159616408943,13,13
302,5.900593191693709,-4.437809209319723,14,14
302,6.943506148801005,-2.731253448760545,15,15
302,8.148251007231083,-1.1348231101343058,16,16
303,0,0,0,0
303,2,0,1,1
303,3.9852196524426358,0.2426992615471674,2,2
303,5.7577885047334245,-0.6835834511753124,3,3
303,7.257779779757178,0.6393020974843641,4,4
304,0,0,0,0
304,2,0,1,1
304,1.1339401829497713,1.8027591057295826,2,2
304,2.69152188949038,3.0573264524471857,3,3
304,2.1796179886119775,4.990705462436038,4,4
304,2.4558900256975784,6.971531997376585,5,5
304,3.2604247831040447,8.802576460005747,6,6
304,4.168405782583139,10.584589508382484,7,7
304,3.469299031741929,12.458422412066334,8,8
304,1.4698541713059279,12.411302882399113,9,9
304,-0.3670385913802463,11.620211877273183,10,10
305,0,0,0,0
305,2,0,1,1
305,1.2207875433432966,-1.8419630689541593,2,2
306,0,0,0,0
306,2,0,1,1
306,3.9917687972319404,0.18126516039556032,2,2
306,5.794074188004124,-0.6857384603543912,3,3
306,5.931846004873114,-2.680987549184309,4,4
306,4.215536959851021,-3.7077705165027943,5,5
306,4.37489096216884,-5.701411984256034,6,6
306,6.044586688695654,-6.802373464426024,7,7
306,6.60189845532946,-8.72315549130245,8,8
306,5.399662749074133,-10.321476268432233,9,9
306,4.199101459316159,-8.721897389622354,10,10
306,2.2837576554369456,-8.146173399379196,11,11
306,2.2694460777115464,-10.146122193409436,12,12
306,4.2039815832633,-10.653638082579048,13,13
306,4.761293349897105,-12.574420109455474,14,14
306,2.7631515025145794,-12.488227547486668,15,15
306,3.093590987828786,-14.460741108034549,16,16
306,5.034182440380779,-13.976897316835213,17,17
306,6.909960309604575,-13.283026013688701,18,18
306,8.742406160727699,-12.481688255498282,19,19
307,0,0,0,0
307,2,0,1,1
307,3.996031508428925,-0.1259294141928306,2,2
307,5.712698863749875,-1.152113214091941,3,3
307,5.152370628560124,-3.0720174483831046,4,4
307,4.468986412777157,-4.951641350555743,5,5
307,2.675395344909075,-5.836531785165494,6,6
307,1.1754040698853214,-7.159417333825171,7,7
308,0,0,0,0
308,2,0,1,1
308,1.9242708179804475,-1.998565758485482,2,2
309,0,0,0,0
309,2,0,1,1
309,1.613928512501389,-1.9623834504348556,2,2
309,0.25786572700999666,-3.4324493407286636,3,3
309,-0.7737060695600981,-1.7190143029985643,4,4
310,0,0,0,0
310,2,0,1,1
310,2.8783106510808767,-1.7968223062389577,2,2
310,0.8791399146933974,-1.8544102109754843,3,3
310,-1.0497905865563772,-1.3259907550994794,4,4
311,0,0,0,0
311,2,0,1,1
311,1.2381819863533368,-1.849225057715651,2,2
311,3.238164440415612,-1.840847501804843,3,3
311,2.3438949577052774,-0.05191427434972318,4,4
311,0.3683547295141347,-0.36374885677843233,5,5
311,0.11076353635900893,1.6195934679877484,6,6
311,-0.06320020893370504,3.6120132569187184,7,7
312,0,0,0,0
312,2,0,1,1
312,3.0318708316861143,1.7132549683906968,2,2
312,5.031502255929403,1.751649853190076,3,3
313,0,0,0,0
313,2,0,1,1
313,3.772892077955981,-0.9256639130488586,2,2
313,3.6947212443652737,1.072807833255235,3,3
313,1.7212926149256234,0.7478779261861215,4,4
313,-0.2427567043391199,0.37037259973933023,5,5
314,0,0,0,0
314,2,0,1,1
314,3.8325856830356777,-0.8010179238523062,2,2
314,4.876094276930798,0.9051736874466793,3,3
314,3.0828122033603274,1.7906901495244831,4,4
314,1.4686854433855692,2.9716197844872907,5,5
314,-0.5109167751694832,3.256532150473597,6,6
315,0,0,0,0
315,2,0,1,1
315,2.1349857901977933,1.995439509592981,2,2
315,4.134915606754754,1.9786845447634387,3,3
315,4.609270139253761,3.9216173221640487,4,4
315,3.417100643647848,5.527460369833012,5,5
315,1.4950590616927968,4.974508150165051,6,6
315,0.3364967170074378,3.344252558707944,7,7
315,-1.0980543713035498,1.9506732911290374,8,8
316,0,0,0,0
316,2,0,1,1
316,3.490719312934862,-1.3333251404076252,2,2
316,4.6304260118787095,0.3101676768515551,3,3
316,6.000029056423452,-1.14729158514302,4,4
316,6.714483253854084,0.7207435322393465,5,5
316,8.594107156026721,0.0373593164563768,6,6
317,0,0,0,0
317,2,0,1,1
317,2.569703929036059,1.9171430393272375,2,2
317,1.3447174381182676,3.4980946821895094,3,3
317,3.2692484396014994,4.042319290536052,4,4
317,3.144015779502492,6.038394635016948,5,5
317,3.921620523648454,7.881036993664359,6,6
317,3.526990225342633,9.841717214317145,7,7
317,2.8629972185109738,11.728278447587524,8,8
317,0.8635279604276336,11.682205831212311,9,9
317,1.8526254967041522,9.943906068877943,10,10
317,1.4429500395967019,7.9863141758001746,11,11
317,0.7684308978043645,6.1034907832973815,12,12
317,2.209048947580179,4.716184171671772,13,13
317,1.6303170538334375,2.801747075510002,14,14
317,0.021773195168961257,1.613224187740146,15,15
317,-1.5981053784830357,0.4401967342578452,16,16
318,0,0,0,0
318,2,0,1,1
318,2.8676326911802033,1.8020026396194313,2,2
318,4.840203894254666,1.4719074278980766,3,3
318,6.664587188946124,2.2914350931118515,4,4
318,7.810596030167154,3.9305396461661193,5,5
319,0,0,0,0
319,2,0,1,1
319,1.277401788686491,1.864899950401232,2,2
319,-0.1271528398910171,0.4410929777601025,3,3
320,0,0,0,0
320,2,0,1,1
320,1.4022515173071977,-1.908585012892654,2,2
320,3.3975963027720515,-1.7722061761245678,3,3
320,5.111930904176276,-2.8022823259446765,4,4
320,6.6756249599117075,-1.555341709853566,5,5
320,7.419008791138456,0.3013705671216902,6,6
321,0,0,0,0
321,2,0,1,1
321,3.9958985410322194,-0.12801958407001301,2,2
321,5.953633318555589,-0.5370116877535934,3,3
321,6.338677251607404,-2.499597015738084,4,4
321,7.881260107313379,-1.2266327062297617,5,5
322,0,0,0,0
322,2,0,1,1
322,3.349893109200546,1.4757332393535367,2,2
322,5.321064311423223,1.8140882179307807,3,3
322,5.732789528962986,3.7712500265817246,4,4
323,0,0,0,0
323,2,0,1,1
323,2.1732682490003867,-1.9924803923472723,2,2
323,0.17326934562299767,-1.9903859976276734,3,3
323,-1.6876936950606405,-2.7230636629140585,4,4
324,0,0,0,0
324,2,0,1,1
324,1.3534863057311264,-1.8926225305440103,2,2
324,0.12601797406732218,-3.4716480194967625,3,3
324,0.8437314180011172,-5.338433334522755,4,4
324,0.9818514694299287,-7.333658347245205,5,5
324,-0.9907773160831601,-7.003907419171976,6,6
325,0,0,0,0
325,2,0,1,1
325,1.0799103504816205,-1.775791383256813,2,2
325,1.5206242762540614,-3.7266299813038795,3,3
325,-0.11306165790894518,-4.880350167708688,4,4
326,0,0,0,0
326,2,0,1,1
326,3.813941031729293,-0.8423882319980894,2,2
326,5.628616495079201,-1.6831931812674181,3,3
326,7.570885054898474,-1.2061262661102579,4,4
327,0,0,0,0
327,2,0,1,1
327,3.7027218308807077,-1.0491607916054864,2,2
327,5.6948967785176805,-0.8724152739604089,3,3
327,5.858078001653996,1.1209165821076508,4,4
327,5.549691860574631,3.0969980551219036,5,5
327,4.549087321722315,4.8286996913249025,6,6
327,3.171365692226037,6.278486955587534,7,7
327,2.2874145009593,8.072541105120962,8,8
328,0,0,0,0
328,2,0,1,1
328,3.561733437671603,-1.2493953216089917,2,2
328,4.978659487202236,-2.6608911842177037,3,3
328,6.919166463525542,-2.1767087032866197,4,4
328,8.886120096302404,-2.5387769378859923,5,5
329,0,0,0,0
329,2,0,1,1
329,1.0036297893210189,-1.7341414023289805,2,2
329,2.401209640352417,-3.164795294782028,3,3
329,0.5615666457089412,-3.9494695279891494,4,4
329,-1.126715024752178,-5.021712504736963,5,5
330,0,0,0,0
330,2,0,1,1
330,3.6202879387806277,1.17246193773701,2,2
330,3.913144620468016,-0.8059806224580166,3,3
330,1.9137588195939854,-0.855542899073514,4,4
330,0.36144588171468883,0.40553780527991756,5,5
330,-1.612152610105359,0.08164122751838399,6,6
331,0,0,0,0
331,2,0,1,1
331,3.3294178816000533,1.4942048373907866,2,2
331,5.2096374332203945,2.1759485118789352,3,3
331,6.412430985421284,0.5780474915450831,4,4
331,6.717022756416577,-1.3986223982043284,5,5
332,0,0,0,0
332,2,0,1,1
332,3.997612274682868,0.09769953959122651,2,2
332,5.784041258653614,-0.8015620937665222,3,3
